Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
North Strabane Police Dept.,1929 Route 519 South,Canonsburg,PA,15317,Washington,(724)746-8474,M-F 8-4:30,"1929 Route 519 South
Canonsburg, PA 15317
(40.23628, -80.16953)",POINT (-80.1693262 40.236146),40.236146,-80.1693262,Chief Daniel Strimel,Yes,Operational,Active
Chippewa Township Police Dept.,2811 Darlington Road,Beaver Falls,PA,15010,Beaver,(724)843-8240,,"2811 Darlington Road
Beaver Falls, PA 15010
(40.77984, -80.39231)",POINT (-80.393743 40.779182),40.779182,-80.393743,Chief Clint Berchtold,Yes,,Active
Lansford Police Dept.,1 West Ridge Street,Lansford,PA,18232,Carbon,(570)645-5844,,"1 West Ridge Street
Lansford, PA 18232
(40.83207, -75.88464)",POINT (-75.8844889 40.8319804),40.8319804,-75.8844889,Sgt. Jack Soberick,Yes,Operational,Active
Turtle Creek Borough Police Department,125 Monroeville Ave,Turtle Creek,PA,15145,Adams,412-824-2500,8:00 A.M. to 4:00 P.M,"125 Monroeville Ave
Turtle Creek, PA 15145
(40.40537, -79.82431)",POINT (-79.8249928 40.4049612),40.4049612,-79.8249928,James Sadlak,No,Active,Active
Weatherly Police Dept.,65 West Main Street,Weatherly,PA,18255,Carbon,(570)427-4241,M-F   24/7,"65 West Main Street
Weatherly, PA 18255
(40.9433, -75.83024)",POINT (-75.830558 40.943681),40.943681,-75.830558,Chief Brian Markovchick,Yes,Operational,Active
Slatington Police Dept.,125 S. Walnut Street,Slatington,PA,18080,Lehigh,(610)767-1846,Su-Th 10am-2pm.,"125 S. Walnut Street
Slatington, PA 18080
(40.75033, -75.60546)",POINT (-75.6055039 40.750561),40.750561,-75.6055039,Chief David Rachman,Yes,Operational,Active
State Police-Troop F / Milton,50 Lawton Ln.,Milton,PA,17847,Northumberland,,,"50 Lawton Ln.
Milton, PA 17847
(40.96996, -76.84973)",POINT (-77.119825 41.792414),41.792414,-77.119825,,No,,Active
East Lansdowne Borough Police,155 Lexington Ave.,Lansdowne,PA,19050,Delaware,,,"155 Lexington Ave.
Lansdowne, PA 19050
(39.94516, -75.26173)",POINT (-75.261717 39.945447),39.945447,-75.261717,,No,,Active
Western Berks Police Department substation at Robesonia Borough Hall,75 S. Brooke St.,Robesonia,PA,19551,Berks,(610) 693-3474,,"75 S. Brooke St.
Robesonia, PA 19551
(40.35189, -76.13759)",POINT (-76.137317 40.351805),40.351805,-76.137317,,No,,Active
Upper Gwynedd Township Police Department,1 Parkside Place,North Wales,PA,19454,Montgomery,,8:30am-4:30pm;M-F,"1 Parkside Place
North Wales, PA 19454
(40.21181, -75.28479)",POINT (-75.2782317 40.2109404),40.2109404,-75.2782317,,No,Operational,Active
MERCER PHARMACY,737 GREENVILLE ROAD,MERCER,PA,16137,Mercer,,,"737 GREENVILLE ROAD
MERCER, PA 16137
(41.24833, -80.24903)",POINT (-80.249609 41.247065),41.247065,-80.249609,,No,Pharmacy,Active
Wyomissing Borough Police Department,22 Reading Blvd,Wyomissing,PA,19610,Berks,(610)375-6102,24 hours a day/7 days a week,"22 Reading Blvd
Wyomissing, PA 19610
(40.3345, -75.95871)",POINT (-75.95925 40.334249),40.334249,-75.95925,Chief Jeffrey R Biehl,No,Operational,Active
CVS #5879,855 S. BROADWAY,WIND GAP,PA,18091,"NORTHAMPTON,PA",6108635341,Follows Pharmacy Hours of Operation,"855 S. BROADWAY
WIND GAP, PA 18091
(40.83843, -75.29616)",POINT (-75.295631 40.838614),40.838614,-75.295631,,No,Pharmacy,Active
"RITE AID OF PENNSYLVANIA, INC. #1074 (LEMOYNE)",1137 MARKET STREET,LEMOYNE,PA,17043,Cumberland,717-737-3359,,"1137 MARKET STREET
LEMOYNE, PA 17043
(40.24254, -76.90808)",POINT (-76.908259 40.242459),40.242459,-76.908259,,No,Pharmacy,Active
Lancaster County Adult Probation,40 East King Street,Lancaster,PA,17602,Lancaster,(717)299-8181,M-F 8am-5pm,"40 East King Street
Lancaster, PA 17602
(40.0382, -76.30405)",POINT (-76.303958 40.037709),40.037709,-76.303958,Chief Mark J. Wilson,Yes,Operational,Active
Ford City Police Dept.,1000 4th Avenue,Ford City,PA,16226,Armstrong,(724)763-9024,,"1000 4th Avenue
Ford City, PA 16226
(40.77137, -79.53075)",POINT (-79.530375 40.77127),40.77127,-79.530375,Chief Roger Wright,Yes,,Active
City of Franklin Police Dept.,"430 13th Street, Ste. B-2",Franklin,PA,16323,Venango,(814)437-1644,"24 hours, 7 days a week","430 13th Street, Ste. B-2
Franklin, PA 16323
(41.39716, -79.83165)",POINT (-79.831984 41.397225),41.397225,-79.831984,Chief Mark London,Yes,Operational,Active
"PENNSYLVANIA CVS PHARMACY, L.L.C.",2400 ARAMINGO AVENUE,Philadlephia,PA,19125,Philadelphia,215-291-8315,,"2400 ARAMINGO AVENUE
Philadlephia, PA 19125
(39.97538, -75.12098)",POINT (-75.120377 39.976322),39.976322,-75.120377,,No,24 hours,Active
EXPRESS CARE PHARMACY,"1727 W LIBERTY STREET, UNIT 2",ALLENTOWN,PA,18104,Lehigh,,,"1727 W LIBERTY STREET, UNIT 2
ALLENTOWN, PA 18104
(40.60333, -75.49692)",POINT (-75.496852 40.603513),40.603513,-75.496852,,No,Pharmacy,Active
CVS #7132,3015 E. LINCOLN HIGHWAY,THORNDALE,PA,19372,"CHESTER,PA",6103807180,Follows Pharmacy Hours of Operation,"3015 E. LINCOLN HIGHWAY
THORNDALE, PA 19372
(39.99339, -75.76393)",POINT (-75.766231 39.993375),39.993375,-75.766231,,No,Pharmacy,Active
Albion Boro Police Department,15 Smock Ave,Albion,PA,16401-1113,Erie,(814)756-4869,M-F 9-4:30,"15 Smock Ave
Albion, PA 16401-1113
(41.89141, -80.36506)",POINT (-80.3649466 41.8914982),41.8914982,-80.3649466,,No,Operational,Active
Douglass Township Police Department,1320 East Philadelphia Ave.,Gilbertsville,PA,19525,Montgomery,(610)367-0466,M-F 8-4,"1320 East Philadelphia Ave.
Gilbertsville, PA 19525
(40.32034, -75.61115)",POINT (-75.6109002 40.3205509),40.3205509,-75.6109002,Chief Barry Templin,No,Operational,Active
West Conshohocken Police Dept.,1001 New De Haven Street,West Conshohocken,PA,19428,Montgomery,(610)940-5842,unknown,"1001 New De Haven Street
West Conshohocken, PA 19428
(40.06748, -75.32346)",POINT (-75.323345 40.067308),40.067308,-75.323345,Chief Michael Sinclair,Yes,ordered 4-26-16,Active
New Holland Police Dept.,436 East Main Street,New Holland,PA,17557,Lancaster,(717)354-4647,M-F 8am-4:30pm.,"436 East Main Street
New Holland, PA 17557
(40.10451, -76.07685)",POINT (-76.0765402 40.1042297),40.1042297,-76.0765402,Chief Donald Bowers,Yes,Operational,Active
Lykens Borough Police Dept.,200 Main Street,Lykens,PA,17048,Dauphin,(717)453-7001,M-F 7am-3pm by appt.w/ Ofcr. Paul Davis; No holidays.,"200 Main Street
Lykens, PA 17048
(40.56728, -76.70988)",POINT (-76.7100761 40.5672596),40.5672596,-76.7100761,Chief Michael Ecker,Yes,Operational,Active
Lower Providence Police Department,100 Parklane Dr.,Eagleville,PA,19403-1100,Montgomery,(610)539-5901,M-F 7am-8pm,"100 Parklane Dr.
Eagleville, PA 19403-1100
(40.16264, -75.40816)",POINT (-75.40765 40.1640593),40.1640593,-75.40765,Det. Sgt. Terrence Kennedy,Yes,Operational,Active
"CVS PHARMACY, L.L.C. # 01598 (WILLIAMSPORT)",1849 LYCOMING CREEK ROAD,WILLIAMSPORT,PA,17701,Lycoming,,,"1849 LYCOMING CREEK ROAD
WILLIAMSPORT, PA 17701
(41.25365, -77.04362)",POINT (-77.043968 41.25369),41.25369,-77.043968,,No,Pharmacy,Active
Bucks County Courthouse,55 E. Court Street,Doylestown,PA,18901,Bucks,(215)348-6000,,"55 E. Court Street
Doylestown, PA 18901
(40.31184, -75.1296)",POINT (-75.1298178 40.312334),40.312334,-75.1298178,,No,Operational,Active
South Williamsport Police Dept.,329-331 West Southern Ave.,South Williamsport,PA,17702,Lycoming,(570)327-8152,M-F 8:30-4:30,"329-331 West Southern Ave.
South Williamsport, PA 17702
(41.23205, -76.99883)",POINT (-76.9982828 41.2322353),41.2322353,-76.9982828,Chief Robert Hetner,Yes,Operational,Active
Crescent Township Police Dept.,225 Spring Run Road,Crescent,PA,15046,Allegheny,(724)457-8100,,"225 Spring Run Road
Crescent, PA 15046
(40.55532, -80.22196)",POINT (-80.222145 40.555166),40.555166,-80.222145,Chief Kenneth Longerman,Yes,,Active
Bethlehem Police Dept.,10 East Church Street,Bethlehem,PA,18018,Lehigh,(610)865-7150,"M-F 7am-5pm, except holidays.","10 East Church Street
Bethlehem, PA 18018
(40.61871, -75.37793)",POINT (-75.378038 40.6184667),40.6184667,-75.378038,Chief Craig Finnerty,Yes,Operational,Active
Spring Garden Township Police Department,340 Tri Hill Road,Spring Garden Township,PA,17403,York,(717)843-0851,Open Monday through Friday from 8AM to 4:30PM,"340 Tri Hill Road
Spring Garden Township, PA 17403
(39.94219, -76.70915)",POINT (-76.708116 39.941809),39.941809,-76.708116,,No,Operational,Active
Monroe County Sheriff-Monroe County Court House Lobby,610 Monroe Street,Stroudsburg,PA,18360,Monroe,,Unknown,"610 Monroe Street
Stroudsburg, PA 18360
(40.9866, -75.19436)",POINT (-75.194775 40.986884),40.986884,-75.194775,,No,Operational,Active
State Police-Troop N / Bloomsburg,6850 Hidlay Church Rd.,Bloomsburg,PA,17815,Columbia,,,"6850 Hidlay Church Rd.
Bloomsburg, PA 17815
(41.04007, -76.35876)",POINT (-76.358753 41.039758),41.039758,-76.358753,,No,,Active
Mt. Lebanon Police Dept.,315 Cypress Way,Pittsburgh,PA,15228,Allegheny,(412)343-3400,,"315 Cypress Way
Pittsburgh, PA 15228
(40.37563, -80.0372)",POINT (-80.037289 40.375495),40.375495,-80.037289,Chief Aaron Lauth,Yes,,Active
State Police-Troop B / Waynesburg,255 Elm Dr.,Waynesburg,PA,15370,Greene,,,"255 Elm Dr.
Waynesburg, PA 15370
(39.89531, -80.14612)",POINT (-80.146717 39.895794),39.895794,-80.146717,,No,,Active
Lower Makefield Twp. Police,1100 Edgewood Road,Yardley,PA,19067,Bucks,(215)493-4055,,"1100 Edgewood Road
Yardley, PA 19067
(40.22457, -74.84377)",POINT (-74.843739 40.224858),40.224858,-74.843739,,No,Operational,Active
Potter County Sheriff's Dept.,1 East Second Street,Coudersport,PA,16915,Potter,(814)274-9350,,"1 East Second Street
Coudersport, PA 16915
(41.77456, -78.02038)",POINT (-77.955885 41.758667),41.758667,-77.955885,Sheriff Glenn Drake,Yes,,Active
Cornwall Borough Police Department,36 Burd Coleman Rd,Cornwall,PA,17016,Lebanon,717-274-2071,M-F    9:00 – 3:00,"36 Burd Coleman Rd
Cornwall, PA 17016
(40.2756, -76.41338)",POINT (-76.413202 40.275475),40.275475,-76.413202,,No,,Active
Northern York County Regional Police Department,1445 East Canal Road,Dover,PA,17315,York,(717)292-3647,Open Monday through Friday from 8AM to 4:30PM.,"1445 East Canal Road
Dover, PA 17315
(40.00847, -76.82839)",POINT (-76.8284053 40.0086231),40.0086231,-76.8284053,,No,Operational,Active
VA Pittsburgh Healthcare System,4100 Allequippa Street,Pittsburgh,PA,15213,Allegheny,,,"4100 Allequippa Street
Pittsburgh, PA 15213
(40.44749, -79.95971)",POINT (-79.960807 40.446266),40.446266,-79.960807,,No,Pharmacy,Active
State Police-Troop C / Punxsutawney,485 N Findley St.,Punx,PA,15767,Jefferson,,,"485 N Findley St.
Punx, PA 15767
(40.95011, -78.97911)",POINT (-78.979062 40.950138),40.950138,-78.979062,,No,,Active
Springfield Township Police Department,50 Powell Road,Springfield,PA,19064,Delaware,(610)544-1100,M-F 8:30-4:30,"50 Powell Road
Springfield, PA 19064
(39.93061, -75.32866)",POINT (-75.3283273 39.9315992),39.9315992,-75.3283273,,No,Operational,Active
Patton Township Police Dept.,100 Patton Plaza,State College,PA,16803,Centre,(814)234-0273,,"100 Patton Plaza
State College, PA 16803
(40.81232, -77.91943)",POINT (-77.92002 40.812262),40.812262,-77.92002,Detective Erik Haas,Yes,,Active
Irwin Police Dept.,424 Main Street,Irwin,PA,15642,Westmoreland,(724)864-3103,24 hours/7days a week.,"424 Main Street
Irwin, PA 15642
(40.33137, -79.71124)",POINT (-79.7114859 40.331454),40.331454,-79.7114859,Acting Chief Daniel T. Wensel,Yes,Operational,Active
"CVS PHARMACY, L.L.C. # 04369 (Pittsburgh)",4610 CENTRE AVE,PITTSBURGH,PA,15213,Allegheny,,,"4610 CENTRE AVE
PITTSBURGH, PA 15213
(40.45188, -79.95141)",POINT (-79.951534 40.451672),40.451672,-79.951534,,No,Pharmacy,Active
South Centre Township Police Department,6260 4th Street,Bloomsburg,PA,17815,Columbia,570-785-5882,,"6260 4th Street
Bloomsburg, PA 17815
(41.02451, -76.34501)",POINT (-76.3453 41.024397),41.024397,-76.3453,Chief William Richendrfer,No,,Active
CVS #3242,1303 LANCASTER AVE.,READING,PA,19607,"BERKS,PA",6107963103,Follows Pharmacy Hours of Operation,"1303 LANCASTER AVE.
READING, PA 19607
(40.31261, -75.94842)",POINT (-75.948555 40.312769),40.312769,-75.948555,,No,Pharmacy,Active
Mount Union Police Department,28 West Shirley Street,Mount Union,PA,17066,Huntingdon,814-542-8822,"24 hours a day 7 days a week; Does not accept: Hydrogen Peroxide, Inhalers, Aerosols, Liquids, Lotions, Sharps or Thermometers","28 West Shirley Street
Mount Union, PA 17066
(40.38508, -77.88413)",POINT (-77.884453 40.385223),40.385223,-77.884453,,No,,Active
Castle Shannon Police Dept.,3310 McRoberts Road,Castle Shannon,PA,15234,Allegheny,(412)885-6300,,"3310 McRoberts Road
Castle Shannon, PA 15234
(40.36733, -80.00934)",POINT (-80.009162 40.367506),40.367506,-80.009162,Chief Kenneth M. Truver,Yes,,Active
Walgreens Pharmacy (York Location),2350 E MARKET ST.,York,PA,17402,York,717–840–3846,,"2350 E MARKET ST.
York, PA 17402
(39.97421, -76.68044)",POINT (-76.680415 39.973484),39.973484,-76.680415,,No,,Active
Tatamy Borough Police Dept.,423 Broad Street,Tatamy,PA,18085,Northampton,(610)252-2260,,"423 Broad Street
Tatamy, PA 18085
(40.7404, -75.25321)",POINT (-75.253182 40.740625),40.740625,-75.253182,OIC Keith Snyder,Yes,Operational,Active
Sandy Township Police Dept.,1094 Chestnut Avenue,DuBois,PA,15801,Clearfield,(814)371-4220,,"1094 Chestnut Avenue
DuBois, PA 15801
(41.1134, -78.73777)",POINT (-78.737823 41.113189),41.113189,-78.737823,Chief Donald Routch,Yes,,Active
North East Borough Police,31 W Main St,North East,PA,16428,Erie,(814)725-8611,Please contact location,"31 W Main St
North East, PA 16428
(42.21533, -79.83611)",POINT (-79.8361824 42.2156027),42.2156027,-79.8361824,,No,Operational,Active
Harrold's Pharmacy,25 Old River Rd.,Wilkes-Barre,PA,18702,Luzerne,570-822-5794,Monday – Friday: 8 a.m. – 6 p.m./ Saturday: 9 a.m. – 2 p.m.,"25 Old River Rd.
Wilkes-Barre, PA 18702
(41.24586, -75.90222)",POINT (-75.902616 41.245947),41.245947,-75.902616,,No,Pharmacy,Active
Cheltenham Township Police Dept.,8230 Old York Road,Elkins Park,PA,19027,Montgomery,(215)885-1600,Unknown,"8230 Old York Road
Elkins Park, PA 19027
(40.0817, -75.12736)",POINT (-75.127561 40.081559),40.081559,-75.127561,Chief John Norris,Yes,Operational,Active
Hershey Medical Center Campus Lobby of Entrance B,22 Northeast Dr,Hershey,PA,17033,Dauphin,(717) 531-8338,,"22 Northeast Dr
Hershey, PA 17033
(40.29215, -76.64969)",POINT (-76.650432 40.2927569),40.2927569,-76.650432,,No,,Active
Tiadaghton Valley Regional Police Dept.,129 South Pennsylvania Ave.,Jersey Shore,PA,17740,Lycoming,(570)398-2146,M-F 9-5,"129 South Pennsylvania Ave.
Jersey Shore, PA 17740
(41.20183, -77.25544)",POINT (-77.2556676 41.2008302),41.2008302,-77.2556676,Chief Shawn Hummer,Yes,Operational,Active
Penn Medicine University City Apothecary,3737 Market Street,Philadelphia,PA,19104,Philadelphia,215-294-9393,8:30 am to 5 Pm Monday through Friday,"3737 Market Street
Philadelphia, PA 19104
(39.95657, -75.19704)",POINT (-75.197491 39.956983),39.956983,-75.197491,Manager-Lori Ribecchi,No,Pharmacy,Active
Mercyhurst North East Police,16 W. Division St.,North East,PA,16428,Erie,(814)725-6100,Please contact location,"16 W. Division St.
North East, PA 16428
(42.21893, -79.83561)",POINT (-79.8359352 42.2198216),42.2198216,-79.8359352,,No,Operational,Active
Washington Township Police Dept.,1021 Washington Boulevard,Bangor,PA,18013,Northampton,(610)599-7828,,"1021 Washington Boulevard
Bangor, PA 18013
(40.83101, -75.22457)",POINT (-75.223831 40.830505),40.830505,-75.223831,Chief Scott Miller,Yes,Operational,Active
Weis Markets - Nanticoke,1 Weis Plaza,Nanticoke,PA,18634,Luzerne,,Monday - Friday: 9 a.m. – 9 p.m./ Saturday: 9 a.m. – 6 p.m. / Saturday: 9 a.m. – 6 p.m.,"1 Weis Plaza
Nanticoke, PA 18634
(41.20661, -76.00375)",POINT (-76.003376 41.20673),41.20673,-76.003376,,No,Pharmacy,Active
CVS #1640,"4686 RTE 209, LYKENS VALLEY S/C",ELIZABETHVILLE,PA,17023,"DAUPHIN,PA",7173629018,Follows Pharmacy Hours of Operation,"4686 RTE 209, LYKENS VALLEY S/C
ELIZABETHVILLE, PA 17023
(40.55826, -76.7892)",POINT (-76.78577 40.561136),40.561136,-76.78577,,No,Pharmacy,Active
City of Warren Police Dept.,318 W Third Ave,Warren,PA,16365,Warren,(814)723-2700,M-F 8-5 and by appt after hours,"318 W Third Ave
Warren, PA 16365
(41.84612, -79.14922)",POINT (-79.1493239 41.846499),41.846499,-79.1493239,Sgt. Brandon Deppen,No,Operational,Active
Upper Chichester Township Polcie Department,8400 Furey Road,Aston,PA,19014,Delaware,(610)485-8400,24 hours a day/ 7 days a week,"8400 Furey Road
Aston, PA 19014
(39.85787, -75.45976)",POINT (-75.459908 39.858028),39.858028,-75.459908,,No,Operational,Active
Borough of Coplay Police Dept.,98 South Fourth Street,Coplay,PA,18037,Lehigh,(610)262-2288,M-F 8am-4:30pm,"98 South Fourth Street
Coplay, PA 18037
(40.67029, -75.49193)",POINT (-75.4918197 40.6701906),40.6701906,-75.4918197,Chief Vincent Genovese,Yes,Operational,Active
Northampton County Sheriff's Dept.,669 Washington Street,Easton,PA,18042,Northampton,(610)829-6511,,"669 Washington Street
Easton, PA 18042
(40.6879, -75.21637)",POINT (-75.217301 40.687891),40.687891,-75.217301,Sheriff David Dalrymple,Yes,Operational,Active
State Police-Troop J / Lancaster,2099 Lincoln Hwy,Lancaster,PA,17602-3384,Lancaster,,,"2099 Lincoln Hwy
Lancaster, PA 17602-3384
(40.03121, -76.23509)",POINT (-76.234345 40.030775),40.030775,-76.234345,,No,,Active
Penn Township Police Department,20 Wayne Avenue,Hanover,PA,17331,York,(717)637-8751,Open Monday through Friday from 8AM to 4:30PM,"20 Wayne Avenue
Hanover, PA 17331
(39.79392, -76.96903)",POINT (-76.9687317 39.7941721),39.7941721,-76.9687317,,No,Operational,Active
Philadelphia Police Dept.-5th Police District,Ridge & Cinnaminson Sts.,Philadelphia,PA,19128,Philadelphia,(215)686-3050,,"Ridge & Cinnaminson Sts.
Philadelphia, PA 19128
(40.04022, -75.22436)",POINT (-75.22438 40.040221),40.040221,-75.22438,Capt. John Cerrone,Yes,Operational,Active
West Lampeter Twp. Police Dept.,852 Village Road,Lampeter,PA,17537,Lancaster,(717)464-2421,M-F 8am - 4:30pm,"852 Village Road
Lampeter, PA 17537
(39.98941, -76.24147)",POINT (-76.24161 39.989268),39.989268,-76.24161,Chief James Walsh,Yes,Operational,Active
State Police-Troop E / Warren,22001 Rt 6,Warren,PA,16365,Warren,,,"22001 Rt 6
Warren, PA 16365
(41.84557, -79.22523)",POINT (-79.225668 41.845002),41.845002,-79.225668,,No,,Active
Borough of Trafford Police Dept.,414 Brinton Avenue,Trafford,PA,15085,Westmoreland,(412)372-7652,M-F 7-3,"414 Brinton Avenue
Trafford, PA 15085
(40.38548, -79.7607)",POINT (-79.7608737 40.3853135),40.3853135,-79.7608737,Capt. Carmen Disso,Yes,Operational,Active
Sloan’s Mountville Pharmacy,2 College Ave,Mountville,PA,17554,Lancaster,,,"2 College Ave
Mountville, PA 17554
(40.03961, -76.42834)",POINT (-76.428514 40.039832),40.039832,-76.428514,,Yes,,Active
Ephrata Police Dept.,124 South State Street,Ephrata,PA,17522,Lancaster,(717)738-9265,M-F 8am-4:30pm.,"124 South State Street
Ephrata, PA 17522
(40.17787, -76.17934)",POINT (-76.2135717 40.1225036),40.1225036,-76.2135717,Chief William Harvey,Yes,Operational,Active
Athens Township Police Dept.,45 Herrick Avenue,Sayre,PA,18840,Bradford,5708886507,M-F 8am-4pm,"45 Herrick Avenue
Sayre, PA 18840
(41.97237, -76.53795)",POINT (-76.53859 41.9723494),41.9723494,-76.53859,Chief Larry J. Hurley,Yes,Operational,Active
WESTMORELAND REGIONAL HOSP,532 W PITTSBURGH ST,GREENSBURG,PA,15601,Westmoreland,,,"532 W PITTSBURGH ST
GREENSBURG, PA 15601
(40.30106, -79.55584)",POINT (-79.554788 40.300616),40.300616,-79.554788,,No,Pharmacy,Active
State Police-Troop H / Carlisle,2 Dunwoody Drive,Carlisle,PA,17015,Cumberland,717-249-2121,,"2 Dunwoody Drive
Carlisle, PA 17015
(40.1843, -77.21854)",POINT (-77.219771 40.185351),40.185351,-77.219771,,No,,Active
Eastern Adams Regional Police Department,110 North Berlin Avenue,New Oxford,PA,17350,Adams,717-624-1614,10:00 am – 3:00 pm Monday thru Friday,"110 North Berlin Avenue
New Oxford, PA 17350
(39.86601, -77.05353)",POINT (-77.05312 39.866103),39.866103,-77.05312,,Yes,Operational,Active
Clearfield County Courthouse,230 East Market Street,Clearfield,PA,16830,Clearfield,(814)765-2641,,"230 East Market Street
Clearfield, PA 16830
(41.02207, -78.43728)",POINT (-78.437019 41.022429),41.022429,-78.437019,ADA Ryan Dobo,Yes,,Active
State Police-Troop H / Gettysburg,3033 Old Harrisburg Rd.,Gettysburg,PA,17325,Adams,,,"3033 Old Harrisburg Rd.
Gettysburg, PA 17325
(39.8994, -77.1844)",POINT (-77.186987 39.896138),39.896138,-77.186987,,No,,Active
Youngsville Borough Police Department,40 Railroad St,Youngsville,PA,16371,Warren,(814) 563-7555,8am til 4pm M-F or by police appt. any other times,"40 Railroad St
Youngsville, PA 16371
(41.85033, -79.31725)",POINT (-79.3172997 41.8503836),41.8503836,-79.3172997,Chief Todd Mineweaser,No,Operational,Active
Liberty Township Police Dept,"39 Topper Road,",Fairfield,PA,17320,Adams,717-642-6103,"8:00 am—4:00 pm, Monday thru Thursday","39 Topper Road,
Fairfield, PA 17320
(39.734, -77.35952)",POINT (-77.359745 39.733788),39.733788,-77.359745,,No,,Active
